id,nombre,apellido,fecha_nacimiento,fecha_alta,email,baja
1,CESAR,PETIT,1980-04-21,2020-01-01,cesar_petit@hotmail.com,0
2,JUAN,GOMEZ,1980-04-22,2020-01-02,juan_gomez@hotmail.com,0
3,ERNESTO,ROLDAN,1980-04-23,2020-01-03,ernesto_roldan@hotmail.com,0
4,PEDRO,PEREZ,1980-04-24,2020-01-04,pedro_perez@hotmail.com,0
5,JOAQUIN,LON,1980-04-25,2020-01-05,joaquin_lon@hotmail.com,0
6,LUIS,CAPRI,1980-04-26,2020-01-06,luis_capri@hotmail.com,0
7,GASTON,CORNIO,1980-04-27,2020-01-07,gaston_cornio@hotmail.com,0
8,ENRIQUE,MENTS,1980-04-28,2020-01-08,enrique_ments@hotmail.com,0
9,MARIANA,SOMAS,1980-04-29,2020-01-09,mariana_somas@hotmail.com,0
10,ESTELA,OCHI,1980-04-30,2020-01-10,estela_ochi@hotmail.com,0
11,CAROLA,CASTELO,1980-05-01,2020-01-11,carola_castelo@hotmail.com,0
12,DELFINA,ARIAS,1980-05-02,2020-01-12,delfina_arias@hotmail.com,0
13,CAROLINA,GARCIA,1980-05-03,2020-01-13,carolina_garcia@hotmail.com,0
14,SILVIA,LUNA,1980-05-04,2020-01-14,silvia_luna@hotmail.com,0
15,LUZ,APAGADA,1980-05-05,2020-01-15,luz_apagada@hotmail.com,0
