id_profesor,nombre,apellido ,email ,horas_diarias 
1, Juan, Perez,juan.perez@example.com, 08:00:00
2, Maria, Gomez,maria.gomez@example.com, 06:30:00
3, Carlos, Rodriguez,carlos.rodriguez@example.com, 07:45:00
4, Ana, Lopez,ana.lopez@example.com, 05:15:00
5, David, Martinez,david.martinez@example.com, 06:00:00
6, Laura, Fernandez,laura.fernandez@example.com, 07:30:00
7, Pablo, Gonzalez,pablo.gonzalez@example.com, 06:45:00
8, Sofia, Sanchez,sofia.sanchez@example.com, 05:45:00
9, Diego, Torres,diego.torres@example.com, 07:15:00
10, Andrea, Ruiz,andrea.ruiz@example.com, 06:15:00
11, Martin, Diaz,martin.diaz@example.com, 07:00:00
12, Valentina, Pereira,valentina.pereira@example.com, 06:30:00
13, Alejandro, Fernandez,alejandro.fernandez@example.com, 07:45:00
14, Camila, Lopez,camila.lopez@example.com, 05:30:00
15, Lucas, Garcia,lucas.garcia@example.com, 06:45:00
